artist_name,artist_mbid,artist_listeners,artist_playcount
Milton Nascimento,1bfa27e3-0376-4206-a772-4586e25a64f5,453642,14027560
Vinícius de Moraes,1c01cf84-07c7-408a-b5a8-7dae0b1312fc,249693,2390966
Toby Fox,1c26f82c-b35d-4c8e-a1f4-9c20747495c9,702565,58221252
Fergie,1c46e82f-4764-4d82-a33b-5d5aee5e2881,2698852,34930779
Jaymes Young,1c494195-f8b9-456f-8516-42695bfae57b,839282,13204130
Clément Matrat,1c5d20f5-677e-4eea-bddb-58b4a5e19f7f,41070,135032
Cassandra Jenkins,1c5fb201-9555-4e94-94b6-d5ac6fccb64c,93909,1471250
Röyksopp,1c70a3fc-fa3c-4be1-8b55-c3192db8a884,2259397,86749792
Dr. Hook,1c893468-37a9-4fb7-909f-929751a8ebed,407266,3465371
Best Youth,1c913581-7f8c-4ad7-bdff-fdb208920d2e,29889,317437
Arno Faraji,1c9998d0-f050-4ddb-b684-ab224f93effb,12693,114755
Sik World,1cd950d1-90fd-423a-b5b6-9d01cdf43f3e,112170,2682878
So.lo,1d068a37-f27a-49c7-a7a6-5b4b3a283d9d,92854,502621
Ice Cube,1d11e2a1-4531-4d61-a8c7-7b5c6a608fd2,2481074,42086663
Ten Tonnes,1d4d3dec-1ffb-4cb6-ae06-8fc79298762e,69535,759549
Dolly Parton,1d543e07-d0d2-4834-a8db-d65c50c2a856,1732725,24866218
Wet Bed Gang,1d77b0c4-c395-4106-8e72-db3ea03740d7,17433,796626
Jhove,1d9ff8bd-4f43-490e-9b05-9934bd809dd6,295801,4309038
Avi Kaplan,1dcf98ea-79c5-43e7-819f-1b86082b0812,48425,642924
1depth,,1047,3146
Will Wood,1e1b8366-680d-4072-9c85-7f3a277af0d6,214225,17778930
FKA twigs,1e4e9db7-5068-4a9c-bdd0-5777e47172c8,1178428,73838970
jschlatt,1e8e8744-8af8-45b1-afda-0c9f189eae00,65216,1491070
bluntone,1ed1ac55-2147-4fc3-a0b6-ff6721d25385,365368,3195909
Stevie Wonder,1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e,3172925,74594296
Pinback,1f16a425-2606-4137-a6b7-234b6dabe037,707733,19768057
Redman,1f1f6737-b930-46fc-8d25-110bb99f7490,647598,8503224
Maadrhino,1f1ff187-0f76-4859-b12d-433350f067ea,84712,288318
your best friend jippy,1f53b0f0-a029-4c39-9049-0fba8011fb28,160136,2985196
Pedra Letícia,1f5df869-b3a9-4019-b3d6-7a747a5cd0a8,36819,855871
Oliver Tree,1fa3bded-908f-47be-9784-3c9ef850682b,1098671,33183927
Harry Whitaker,1fcf042d-d784-4a93-b0e3-22c396d375a7,1716,5140
Danny L Harle,1fd94d42-5e6a-46f2-84bf-9cc0be6c009f,202542,3694194
Apollo 440,1ff10dff-7ac7-4e53-bc02-d5c3cbd8448b,648698,6810960
Brent Faiyaz,201412c6-7ced-472b-87a9-9259ec3c07d3,1317461,115423563
Nohone,20201c05-1699-4dea-a5cf-c813bcc488da,11420,42021
Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,4568630,2174195072
Cappadonna,20292c32-1fe2-4e5d-82c8-7e04e6b8cf73,110713,881338
Manel Cruz,202ce906-b91e-478c-856e-92d433cd3715,6801,81662
Bryce Dessner,20336142-85de-4e11-a1fd-a6c815b4e583,124370,951803
Glass Animals,20395131-fbde-43ce-b141-b700cfdae99c,1862564,84374487
Quinn XCII,20749ae2-4e7b-4b12-bf58-4436afe33385,382438,11792693
The Mars Volta,20883363-1ea4-4d72-ad72-c0e767038f3e,1215048,59160956
Sérgio Godinho,208ec32e-f776-4b94-af14-ae97515d7863,24840,495562
Grachan Moncur III,2098836b-6ee4-45fd-a5cc-0ab0782360e8,22043,144144
Art Blakey & The Jazz Messengers,209ddf15-ee0a-41a1-a1f5-6f4c0409d2ee,452091,4503557
Yung Gravy,20b034b2-35a1-40be-908f-22d1b5681572,757534,23499300
Triathalon,20c8e21c-a8b9-4ac1-bef8-0ddcd9f4691a,209850,2259045
squeeda,20ddef73-2637-4c8f-bd94-3e9166b00462,147942,695986
Kupla,2140553b-34d8-4b97-b08c-d77c32f60e81,458268,7855364
Freddie Gibbs,21645c31-fe1c-45a4-955c-3e172b12c3f9,919154,64435514
Lucinda Williams,21685b15-3074-446e-aa1d-ff7157014f53,520213,8010823
Alec Benjamin,21a14ee3-cede-420a-9d6d-a33517d2f952,936585,31919913
Lee Fields,21a6802c-9700-4ab1-be86-ce9d225ace43,94817,716841
Laufey,21a89505-10a9-4ac0-8388-833bc07b9f86,989384,66147009
Flo Milli,21dab5d7-3bda-4f72-a054-6379729dcb62,790151,18243792
Nick Hakim,21e8f8ef-00d2-4748-be00-451f1f5dfcaa,270528,3052097
Monma,21ec9aec-c067-4b0f-ba7f-0837bae6e31a,215397,1459756
Bayonne,222408bd-5db7-4cb1-b4ab-eb5078595846,95051,802040
6ix9ine,2282c539-05a2-477c-82b7-fe40798d37f3,793097,20741396
Paul Rosenberg,229688ec-3e73-428c-97f3-86efc2a15724,108990,465029
Colin Stetson,22b2f6dc-fcc2-490d-a462-f972a692ce12,254589,4142856
Kenny Beats,22ba00db-f132-4f3c-ab06-4ddaa4cc066b,286834,5616108
Ginger Root,22dc2681-4260-437e-a570-c4e92e011f68,363080,5436922
Wesley Gonzalez,22f64b68-4fad-49e1-9152-0e2b38d1e97b,14021,160326
San Holo,23101701-cecf-4c9b-9b4c-d6a249eac118,407142,8177285
Thomas Gold,233164a1-a581-44f7-adac-cfdae2eefb66,168327,982541
Fugazi,233fc3f3-6de2-465c-985e-e721dbabbace,1142515,43811711
The Offspring,23a03e33-a603-404e-bcbf-2c00159d7067,3732845,161506082
Sault,23b19bc5-813e-4456-bbae-ac3ca118f535,361323,7597980
Capitão Fausto,23b2da42-f7d4-41af-bd51-c6f9bebcc2d2,28880,1384914
The Legends,23c7f131-d50c-48df-88b9-58a3e09f023e,148618,1379354
Hope Sandoval & The Warm Inventions,23f527e1-74ae-4f7c-94f3-4a5d5f379c51,348165,5642339
Hideki Naganuma,24164692-3223-48bf-9cea-2a76b5afce94,107385,2249144
Forests,249d6e13-9dac-4f54-ab9e-e98c39662bf5,40252,586212
24MIX,,41,264
Young Fathers,24aa5c20-a275-468a-93a9-b3d96b344b6c,364949,8922954
Justice Der,24b703b4-2fd8-472a-8cd6-dcd1862064c1,95110,1647076
Everything Everything,251e10fb-4ed1-4a79-8655-7f22d461a689,576282,22822704
Pop Smoke,253c9ae7-850b-46be-8fbb-65e9fa621058,1162533,100653873
SPELLLING,25521b37-fcf4-4204-8dca-e28bcda1e004,185629,5159342
Sprints,256e0b36-88cb-453a-9ce4-7b73cb6b882f,66382,939563
mujo,2594e69d-a191-4203-8405-f20151083b13,394667,3710139
Men I Trust,25ab7547-a4d2-480b-b028-c7f3497bc858,1395386,64421481
A$AP Rocky,25b7b584-d952-4662-a8b9-dd8cdfbfeb64,2367212,185784014
Baleia Baleia Baleia,25ca5828-c2a4-48f9-ae8a-adb342662acc,863,12412
digitalluc,25eff28f-8e1d-4c4d-8517-2cdfe6f2026d,141732,727690
ROSALÍA,25f3abd9-63b5-471a-bd25-feb9672dfa11,1215884,111414922
Charli xcx,260b6184-8828-48eb-945c-bc4cb6fc34ca,2900697,441297346
DLJ,2623dcdc-a0bd-475d-aa94-069ca98a4417,263876,1950406
Mk.gee,262cf0ce-2af2-4686-a8cc-d6b33e97336d,278023,4300093
Kokoroko,2650f0e7-3879-4b2c-8908-d025113cbece,189482,1982303
Booker Ervin,26608e21-906d-4d33-b910-685553120062,56509,277509
Art Pepper,266b9126-4a40-4b9b-b21e-422d72e64254,286329,2421026
Sebastian Kamae,269b0cc0-9f70-4513-9a23-af98e5bf1738,249414,1411339
Devon Rea,27026070-6034-40a9-acbd-d8a3f0ca3ce1,121876,650008
BRANKO,270c2116-a421-43e5-a6c6-3b285a1a71ba,68759,541837
Regula,2714be9f-7bf5-4acb-8f9f-167887c11a6e,10130,299510
SZA,272989c8-5535-492d-a25c-9f58803e027f,2389916,314244895
Berlioz,274774a7-1cde-486a-bc3d-375ec54d552d,250564,2583337
Herbie Hancock,27613b78-1b9d-4ec3-9db5-fa0743465fdd,1309172,18281163
Ana Castela,276184c5-0fb1-4093-9158-d074941ca8b6,179887,4518194
bbno$,27638856-79a1-4495-b7da-1912899560c7,745532,25590610
Allie Crow Buckley,279f42bc-df42-49d1-92de-d7e747000bf3,43665,248846
Friday Pilots Club,27afdb7c-c932-4698-9d2a-96d7199acbed,152012,3436882
Luke Temple,27c978f2-284d-469f-a116-23f7fca9a6fc,104645,686627
John Grant,27ca9c68-650a-4659-b8ef-013e5698ff55,230520,5281151
Frank Carter & The Rattlesnakes,2808f2b4-65f3-4f26-b937-a6fbb41825c2,218839,5639410
Tony Velour,282ba1fc-6952-4b42-bb51-1d2ff0e83f7c,77898,942875
Slint,2869c510-2679-4a3f-bf15-e5e8b49f2f28,523783,12801716
João Gilberto,286ec4c2-b5ca-4f85-b331-280a6d73dd14,693173,14977149
Khalid,28737730-ec70-4da5-89c5-77ac13c5c34d,1662087,63701005
Cosha,289cdc5a-5c8e-4932-a032-043cf734dfa2,45108,337496
Kanisan,28ca6117-f095-4a83-966c-0bbdf9945bfb,234903,2154343
Juan Rios,28d896c8-a6c4-4d32-b1a8-e6c97eb34c1e,175859,1345946
UMI,29037fbf-ca05-4819-9f2b-de685b5b26b0,631037,20524076
Low Roar,2921ca1d-206e-411a-8d2e-e12494dcfa9a,324154,10372504
Milhanas,2926befa-a736-41fe-821b-5605b5e822dc,3016,25577
Teddy Pendergrass,293029f7-ac9e-4a8b-bb50-67935b373c47,324392,2358435
FREE FLOW FLAVA,29366ef1-5b7b-4476-8e2f-6e3e6808b51c,88172,2990984
Pentakill,293e99bd-b55a-404f-bc9e-9b950852b064,139786,5927830
Nina Simone,2944824d-4c26-476f-a981-be849081942f,2433287,57260804
Great Caesar,2972c167-bea6-47a6-99ee-28b030281a8b,18256,117159
X Ambassadors,298f4089-1948-44b5-b5e8-d5381f42362f,899216,13001542
Cloud Nothings,29c91854-8c45-469b-b36d-a11fb650638b,449324,13517224
Amaarae,29fab96f-c3a2-4251-80f6-7ccda50da706,606571,15109318
Seb Zillner,2a5d9139-b3ce-4c12-969b-f6904d6e14c6,52988,173917
Guru,2a8ad260-a0c8-4aec-a4ce-40987f4ada85,460517,7006874
Viktor Vaughn,2aa5bd46-43ba-4a09-9c7e-20b07036db51,446608,9356558
